id;titulo;fecha_estreno;descripcion;en_cines
1;MaderaXXXX;2021-10-12T11:32:30;copy Murcia Baleares;true
2;Parafarmacia;2021-10-12T00:01:11;Kwacha;true
3;BebesXXXXX;2021-10-12T07:14:49;Granito;true
4;HormigonXX;2021-10-12T02:33:12;parsing cross-platform;true
5;orchestrate flexibilidad;2021-10-12T08:23:42;deposit Salchichas;false
6;generación firmware;2021-10-12T07:00:54;Peso Camino;true
7;Facilitador;2021-10-11T16:16:02;Marca Berkshire;false
8;deposit Moda Inverso;2021-10-12T09:15:17;GB;false
9;viral Algodón;2021-10-11T21:29:35;Queso;false
10;Teclado Mascotas Calidad;2021-10-11T15:53:52;Berkshire Cambridgeshire;false
